名称	显示	地图	类型	大小	等级	经验	生命	攻击	防御	最低伤害	角色文件	脚本文件	脚本时间	复活时间	死亡脚本	掉落1	概率1	掉落2	概率2	掉落3	概率3	掉落4	概率4	魔魂掉落	魔魂概率	魔魂KEY	魔魂BIT
小恶魔	黑曜石恶魔	藏书库	4	40,90	10	200	500	20	5	10	\Data\怪物\BOSS\小恶魔.chr	\Data\怪物\BOSS\小恶魔.lua	200	60000		小恶魔宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	4
狮鹫怪	狮鹫	礼拜堂	4	80,80	12	240	600	24	6	12	\Data\怪物\BOSS\狮鹫怪.chr	\Data\怪物\BOSS\狮鹫怪.lua	200	60000		狮鹫宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	5
魔化里希特	魔化里希特	最上部	4	32,90	18	360	900	36	9	18	\Data\怪物\BOSS\魔化里希特.chr	\Data\怪物\BOSS\魔化里希特.lua	200	60000		里希特宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	6
羽恶魔	羽恶魔	计时塔	4	40,100	16	320	800	32	8	16	\Data\怪物\BOSS\羽恶魔.chr	\Data\怪物\BOSS\羽恶魔.lua	200	60000		羽恶魔宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	7
狼人	狼人	斗技场	4	32,80	14	280	700	28	7	14	\Data\怪物\BOSS\狼人.chr	\Data\怪物\BOSS\狼人.lua	200	60000		狼人宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	8
牛头人	牛头人	斗技场	4	32,80	14	280	700	28	7	14	\Data\怪物\BOSS\牛头人.chr	\Data\怪物\BOSS\牛头人.lua	200	60000		牛头人宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	9
奥洛克	奥洛克	奥洛克之间	4	32,120	20	400	1000	40	10	20	\Data\怪物\BOSS\奥洛克.chr	\Data\怪物\BOSS\奥洛克.lua	200	60000	\Data\脚本\怪物死亡\奥洛克.lua	奥洛克宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	10
奥洛克变身	奥洛克变身	奥洛克之间	4	32,120	22	440	1100	44	11	22	\Data\怪物\BOSS\奥洛克变身.chr	\Data\怪物\BOSS\奥洛克变身.lua	200	60000		奥洛克宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	11
骷髅统领	骷髅统领	地下花园	4	32,120	22	440	1100	44	11	22	\Data\怪物\BOSS\骷髅统领.chr	\Data\怪物\BOSS\骷髅统领.lua	200	60000		骷髅统领宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	12
魅魔	魅魔	诅咒监狱	4	32,120	24	480	1200	48	12	24	\Data\怪物\BOSS\魅魔.chr	\Data\怪物\BOSS\魅魔.lua	200	60000		魅魔宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	13
海妖	海妖	地下水脉	4	32,120	26	520	1300	52	13	26	\Data\怪物\BOSS\海妖.chr	\Data\怪物\BOSS\海妖.lua	200	60000	\Data\脚本\怪物死亡\海妖.lua	海妖宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	14
地狱三头犬	地狱三头犬	焉道	4	80,100	28	560	1400	56	14	28	\Data\怪物\BOSS\地狱三头犬.chr	\Data\怪物\BOSS\地狱三头犬.lua	200	60000		三头犬宝箱	1	苹果	0.1	小红心	0.2	大红心	0.1	一阶魔魂	0	BOSS	15
