名称	升级	显示	描述	分类	图片	位置	大小	偏移	帧数	帧速率	下落速度	摆动速度	反弹	类型	装备	等级	拾取	消耗	价值	生命	法力	红心	攻击	防御	力量	体质	耐力	智力	幸运	间隔时间	特效	音效	脚本
草莓蛋糕		草莓蛋糕	特制的奶油草莓蛋糕	食物	\image\图标\食物.bmp	160,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	22	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
点心		点心	五仁馅的！	食物	\image\图标\食物.bmp	192,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	28	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
烤火鸡		烤火鸡	火鸡肉	食物	\image\图标\食物.bmp	224,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	80	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
味增汤		味增汤	特制酱汤的美味食品	食物	\image\图标\食物.bmp	256,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	80	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
红豆包		红豆包	放了红豆沙的中华馒头	食物	\image\图标\食物.bmp	288,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	20	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
红色染料		红色染料	可以把衣服染成红色	药物	\image\图标\药物.bmp	0,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
绿色染料		绿色染料	可以把衣服染成绿色	药物	\image\图标\药物.bmp	32,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
蓝色染料		蓝色染料	可以把衣服染成蓝色	药物	\image\图标\药物.bmp	64,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
黄色染料		黄色染料	可以把衣服染成黄色	药物	\image\图标\药物.bmp	96,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
紫色染料		紫色染料	可以把衣服染成紫色，有角幻也喜欢用的颜色	药物	\image\图标\药物.bmp	128,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
黑色染料		黑色染料	可以把衣服染成黑色	药物	\image\图标\药物.bmp	160,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
灰色染料		灰色染料	可以把衣服染成灰色	药物	\image\图标\药物.bmp	192,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\衣服染料.lua
红色残影		红色残影剂	可以把残影染成红色	药物	\image\图标\药物.bmp	0,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
绿色残影		绿色残影剂	可以把残影染成绿色	药物	\image\图标\药物.bmp	32,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
蓝色残影		蓝色残影剂	可以把残影染成蓝色	药物	\image\图标\药物.bmp	64,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
黄色残影		黄色残影剂	可以把残影染成黄色	药物	\image\图标\药物.bmp	96,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
紫色残影		紫色残影剂	可以把残影染成紫色	药物	\image\图标\药物.bmp	128,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
黑色残影		黑色残影剂	可以把残影染成黑色	药物	\image\图标\药物.bmp	160,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
白色残影		白色残影剂	可以把残影染成灰色	药物	\image\图标\药物.bmp	192,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\残影染料.lua
生命50		小生命药水	恢复50点生命	药物	\image\图标\药物.bmp	0,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	50	0	0	0	0	0				0	1000	恢复生命	\sound\物品\药水.wav	
生命100		中生命药水	恢复100点生命	药物	\image\图标\药物.bmp	32,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	100	0	0	0	0	0				0	1000	恢复生命	\sound\物品\药水.wav	
生命200		大生命药水	恢复200点生命	药物	\image\图标\药物.bmp	64,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	200	0	0	0	0	0				0	1000	恢复生命	\sound\物品\药水.wav	
生命500		超生命药水	恢复500点生命	药物	\image\图标\药物.bmp	96,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	500	0	0	0	0	0				0	1000	恢复生命	\sound\物品\药水.wav	
法力50		小法力药水	恢复50点法力	药物	\image\图标\药物.bmp	128,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	50	0	0	0	0				0	1000	恢复法力	\sound\物品\药水.wav	
法力100		中法力药水	恢复100点法力	药物	\image\图标\药物.bmp	160,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	100	0	0	0	0				0	1000	恢复法力	\sound\物品\药水.wav	
法力200		大法力药水	恢复200点法力	药物	\image\图标\药物.bmp	192,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	200	0	0	0	0				0	1000	恢复法力	\sound\物品\药水.wav	
法力500		超法力药水	恢复500点法力	药物	\image\图标\药物.bmp	224,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	500	0	0	0	0				0	1000	恢复法力	\sound\物品\药水.wav	
红心50		小红心药	恢复50点红心	药物	\image\图标\药物.bmp	256,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	50	0	0	0				0	1000	恢复红心	\sound\物品\药水.wav	
红心100		中红心药	恢复100点红心	药物	\image\图标\药物.bmp	288,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	100	0	0	0				0	1000	恢复红心	\sound\物品\药水.wav	
红心200		大红心药	恢复200点红心	药物	\image\图标\药物.bmp	288,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	200	0	0	0				0	1000	恢复红心	\sound\物品\药水.wav	
解毒药		解毒剂		药物	\image\图标\药物.bmp	256,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\解毒药.lua
解咒药		解咒剂		药物	\image\图标\药物.bmp	288,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\解咒药.lua
物攻药		物攻药		药物	\image\图标\药物.bmp	0,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\物攻药.lua
物防药		物防药		药物	\image\图标\药物.bmp	32,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\物防药.lua
魔攻药		魔攻药		药物	\image\图标\药物.bmp	64,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\魔攻药.lua
魔防药		魔防药		药物	\image\图标\药物.bmp	96,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\魔防药.lua
暴击药		暴击药		药物	\image\图标\药物.bmp	128,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\暴击药.lua
韧性药		韧性药		药物	\image\图标\药物.bmp	160,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\韧性药.lua
幸运药		幸运药		药物	\image\图标\药物.bmp	192,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	0	0	0	0	0				0	1000		\sound\物品\药水.wav	\data\脚本\使用物品\幸运药.lua
飞镖		飞镖		投掷	\image\图标\投掷.bmp	0,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	10	0	0				0	1000	飞镖	\sound\物品\拾取.wav	
十字镖		十字镖		投掷	\image\图标\投掷.bmp	32,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	20	0	0				0	1000	十字镖	\sound\物品\拾取.wav	
火焰镖		火焰镖		投掷	\image\图标\投掷.bmp	64,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	20	0	0				0	1000	火焰镖	\sound\物品\拾取.wav	
梅花镖		梅花镖		投掷	\image\图标\投掷.bmp	96,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	25	0	0				0	1000	梅花镖	\sound\物品\拾取.wav	
柳生镖		柳生镖		投掷	\image\图标\投掷.bmp	128,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	30	0	0				0	1000	柳生镖	\sound\物品\拾取.wav	
回旋镖		回旋镖		投掷	\image\图标\投掷.bmp	160,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	30	0	0				0	1000	回旋镖	\sound\物品\拾取.wav	
烈焰回旋镖		烈焰回旋镖		投掷	\image\图标\投掷.bmp	192,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	30	0	0				0	1000	烈焰回旋镖	\sound\物品\拾取.wav	
村正飞刀		村正飞刀		投掷	\image\图标\投掷.bmp	224,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	30	0	0				0	1000	村正飞刀	\sound\物品\拾取.wav	
铁球		铁球		投掷	\image\图标\投掷.bmp	256,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	30	0	0				0	1000	铁球	\sound\物品\拾取.wav	
无双飞轮		无双飞轮		投掷	\image\图标\投掷.bmp	288,0	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	40	0	0				0	1000	无双飞轮	\sound\物品\拾取.wav	
中子炸弹		中子炸弹		投掷	\image\图标\投掷.bmp	0,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	50	0	0				0	1000	中子炸弹	\sound\物品\拾取.wav	
TNT炸药		TNT炸药		投掷	\image\图标\投掷.bmp	32,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	55	0	0				0	1000	TNT炸药	\sound\物品\拾取.wav	
烈性炸药		烈性炸药		投掷	\image\图标\投掷.bmp	64,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	60	0	0				0	1000	烈性炸药	\sound\物品\拾取.wav	
业力之币		业力之币		投掷	\image\图标\投掷.bmp	96,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	70	0	0				0	1000	业力之币	\sound\物品\拾取.wav	
毁灭之剑		毁灭之剑		投掷	\image\图标\投掷.bmp	128,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	80	0	0				0	1000	毁灭之剑	\sound\物品\拾取.wav	
天堂之剑		天堂之剑		投掷	\image\图标\投掷.bmp	160,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	85	0	0				0	1000	天堂之剑	\sound\物品\拾取.wav	
魔法之箭		魔法之箭		投掷	\image\图标\投掷.bmp	192,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	90	0	0				0	1000	魔法之箭	\sound\物品\拾取.wav	
魔法徽章		魔法徽章		投掷	\image\图标\投掷.bmp	224,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	95	0	0				0	1000	魔法徽章	\sound\物品\拾取.wav	
蝙蝠徽章		蝙蝠徽章		投掷	\image\图标\投掷.bmp	256,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	100	0	0				0	1000	蝙蝠徽章	\sound\物品\拾取.wav	
父亲大人		父亲大人		投掷	\image\图标\投掷.bmp	288,32	32,32	0,2	0	0	-300	0	4	5	0	0	1	1	10	0	0	0	100	0	0				0	1000	父亲大人	\sound\物品\拾取.wav	
短剑01	短剑02	短剑	普通的短剑	短剑	\image\图标\武器.bmp	0,0	32,32	0,2	0	0	-400	0	4	0	0	0	1	0	10	0	0	0	1	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑02	短剑03	匕首	普通的匕首	短剑	\image\图标\武器.bmp	32,0	32,32	0,2	0	0	-400	0	4	0	0	3	1	0	10	0	0	0	2	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑03	短剑04	钢匕	经过精细打磨的匕首	短剑	\image\图标\武器.bmp	64,0	32,32	0,2	0	0	-400	0	4	0	0	6	1	0	10	0	0	0	3	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑04	短剑05	短刀	短刀	短剑	\image\图标\武器.bmp	96,0	32,32	0,2	0	0	-400	0	4	0	0	9	1	0	10	0	0	0	4	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑05	短剑06	月刃刀	像月牙一样，适合收割人头	短剑	\image\图标\武器.bmp	128,0	32,32	0,2	0	0	-400	0	4	0	0	12	1	0	10	0	0	0	5	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑06	短剑07	暗杀剑	剑柄很长，适合暗杀使用	短剑	\image\图标\武器.bmp	160,0	32,32	0,2	0	0	-400	0	4	0	0	15	1	0	10	0	0	0	6	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑07	短剑08	虎彻	向猛虎一样，攻击敌人	短剑	\image\图标\武器.bmp	192,0	32,32	0,2	0	0	-400	0	4	0	0	18	1	0	10	0	0	0	7	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑08	短剑09	兽人杀	天使猎杀兽人使用的剑	短剑	\image\图标\武器.bmp	224,0	32,32	0,2	0	0	-400	0	4	0	0	21	1	0	10	0	0	0	8	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑09	短剑10	马刀	适合骑在马上使用	短剑	\image\图标\武器.bmp	256,0	32,32	0,2	0	0	-400	0	4	0	0	24	1	0	10	0	0	0	9	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑10	短剑11	阿鲁卡特之剑	剑上的画像很像妈妈	短剑	\image\图标\武器.bmp	288,0	32,32	0,2	0	0	-400	0	4	0	0	27	1	0	10	0	0	0	10	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑11	短剑12	黑暗之剑	从黑暗中诞生的奇异之剑	短剑	\image\图标\武器.bmp	288,0	32,32	0,2	0	0	-400	0	4	0	0	30	1	0	10	0	0	0	11	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑12	短剑13	诅咒之剑	受到诅咒的奇异之剑	短剑	\image\图标\武器.bmp	128,96	32,32	0,2	0	0	-400	0	4	0	0	33	1	0	10	0	0	0	12	0	0	0	0	0	0	0		\sound\物品\武器.wav	
短剑13		暗月之剑	挥动时月色为之暗淡	短剑	\image\图标\武器.bmp	160,96	32,32	0,2	0	0	-400	0	4	0	0	36	1	0	10	0	0	0	13	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀01	长刀02	长刀01		长刀	\image\图标\武器.bmp	0,32	32,32	0,2	0	0	-400	0	4	0	0	0	1	0	10	0	0	0	1	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀02	长刀03	长刀02		长刀	\image\图标\武器.bmp	32,32	32,32	0,2	0	0	-400	0	4	0	0	2	1	0	10	0	0	0	2	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀03	长刀04	长刀03		长刀	\image\图标\武器.bmp	64,32	32,32	0,2	0	0	-400	0	4	0	0	4	1	0	10	0	0	0	3	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀04	长刀05	长刀04		长刀	\image\图标\武器.bmp	96,32	32,32	0,2	0	0	-400	0	4	0	0	6	1	0	10	0	0	0	4	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀05	长刀06	长刀05		长刀	\image\图标\武器.bmp	128,32	32,32	0,2	0	0	-400	0	4	0	0	8	1	0	10	0	0	0	5	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀06	长刀07	长刀06		长刀	\image\图标\武器.bmp	160,32	32,32	0,2	0	0	-400	0	4	0	0	10	1	0	10	0	0	0	6	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀07	长刀08	长刀07		长刀	\image\图标\武器.bmp	192,32	32,32	0,2	0	0	-400	0	4	0	0	12	1	0	10	0	0	0	7	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀08	长刀09	长刀08		长刀	\image\图标\武器.bmp	224,32	32,32	0,2	0	0	-400	0	4	0	0	14	1	0	10	0	0	0	8	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀09	长刀10	长刀09		长刀	\image\图标\武器.bmp	256,32	32,32	0,2	0	0	-400	0	4	0	0	16	1	0	10	0	0	0	9	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长刀10		长刀10		长刀	\image\图标\武器.bmp	288,32	32,32	0,2	0	0	-400	0	4	0	0	18	1	0	10	0	0	0	10	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑01	长剑02	长剑01		长剑	\image\图标\武器.bmp	0,64	32,32	0,2	0	0	-400	0	4	0	0	0	1	0	10	0	0	0	1	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑02	长剑03	长剑02		长剑	\image\图标\武器.bmp	32,64	32,32	0,2	0	0	-400	0	4	0	0	2	1	0	10	0	0	0	2	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑03	长剑04	长剑03		长剑	\image\图标\武器.bmp	64,64	32,32	0,2	0	0	-400	0	4	0	0	4	1	0	10	0	0	0	3	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑04	长剑05	长剑04		长剑	\image\图标\武器.bmp	96,64	32,32	0,2	0	0	-400	0	4	0	0	6	1	0	10	0	0	0	4	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑05	长剑06	长剑05		长剑	\image\图标\武器.bmp	128,64	32,32	0,2	0	0	-400	0	4	0	0	8	1	0	10	0	0	0	5	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑06	长剑07	长剑06		长剑	\image\图标\武器.bmp	160,64	32,32	0,2	0	0	-400	0	4	0	0	10	1	0	10	0	0	0	6	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑07	长剑08	长剑07		长剑	\image\图标\武器.bmp	192,64	32,32	0,2	0	0	-400	0	4	0	0	12	1	0	10	0	0	0	7	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑08	长剑09	长剑08		长剑	\image\图标\武器.bmp	224,64	32,32	0,2	0	0	-400	0	4	0	0	14	1	0	10	0	0	0	8	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑09	长剑10	长剑09		长剑	\image\图标\武器.bmp	256,64	32,32	0,2	0	0	-400	0	4	0	0	16	1	0	10	0	0	0	9	0	0	0	0	0	0	0		\sound\物品\武器.wav	
长剑10		长剑10		长剑	\image\图标\武器.bmp	288,64	32,32	0,2	0	0	-400	0	4	0	0	18	1	0	10	0	0	0	10	0	0	0	0	0	0	0		\sound\物品\武器.wav	
盾牌01	盾牌02	皮革盾		盾牌	\image\图标\防具.bmp	0,0	32,32	0,2	0	0	-400	0	4	0	2	0	1	0	10	0	0	0	0	0	0	1	0	0	0	0		\sound\物品\盾牌.wav	
盾牌02	盾牌03	骑士盾		盾牌	\image\图标\防具.bmp	32,0	32,32	0,2	0	0	-400	0	4	0	2	3	1	0	10	0	0	0	0	0	0	2	0	0	0	0		\sound\物品\盾牌.wav	
盾牌03	盾牌04	美杜莎之盾	用美杜莎的头制作的盾	盾牌	\image\图标\防具.bmp	64,0	32,32	0,2	0	0	-400	0	4	0	2	6	1	0	10	0	0	0	0	0	0	3	0	0	0	0		\sound\物品\盾牌.wav	
盾牌04	盾牌05	仪式之盾		盾牌	\image\图标\防具.bmp	96,0	32,32	0,2	0	0	-400	0	4	0	2	9	1	0	10	0	0	0	0	0	0	4	0	0	0	0		\sound\物品\盾牌.wav	
盾牌05	盾牌06	纹章之盾		盾牌	\image\图标\防具.bmp	128,0	32,32	0,2	0	0	-400	0	4	0	2	12	1	0	10	0	0	0	0	0	0	5	0	0	0	0		\sound\物品\盾牌.wav	
盾牌06	盾牌07	骷髅之盾		盾牌	\image\图标\防具.bmp	160,0	32,32	0,2	0	0	-400	0	4	0	2	15	1	0	10	0	0	0	0	0	0	6	0	0	0	0		\sound\物品\盾牌.wav	
盾牌07	盾牌08	斧头兵之盾		盾牌	\image\图标\防具.bmp	192,0	32,32	0,2	0	0	-400	0	4	0	2	18	1	0	10	0	0	0	0	0	0	7	0	0	0	0		\sound\物品\盾牌.wav	
盾牌08	盾牌09	精钢盾		盾牌	\image\图标\防具.bmp	224,0	32,32	0,2	0	0	-400	0	4	0	2	21	1	0	10	0	0	0	0	0	0	8	0	0	0	0		\sound\物品\盾牌.wav	
盾牌09	盾牌10	阿鲁卡特之盾	很像阿鲁卡多以前爱用的盾	盾牌	\image\图标\防具.bmp	256,0	32,32	0,2	0	0	-400	0	4	0	2	24	1	0	10	0	0	0	0	0	0	9	0	0	0	0		\sound\物品\盾牌.wav	
盾牌10	盾牌11	炎魔之盾		盾牌	\image\图标\防具.bmp	288,0	32,32	0,2	0	0	-400	0	4	0	2	27	1	0	10	0	0	0	0	0	0	10	0	0	0	0		\sound\物品\盾牌.wav	
盾牌11	盾牌12	圣骑盾牌		盾牌	\image\图标\防具.bmp	288,0	32,32	0,2	0	0	-400	0	4	0	2	30	1	0	10	0	0	0	0	0	0	11	0	0	0	0		\sound\物品\盾牌.wav	
盾牌12	盾牌13	圣战盾牌		盾牌	\image\图标\防具.bmp	256,0	32,32	0,2	0	0	-400	0	4	0	2	33	1	0	10	0	0	0	0	0	0	12	0	0	0	0		\sound\物品\盾牌.wav	
盾牌13		圣光盾牌		盾牌	\image\图标\防具.bmp	96,0	32,32	0,2	0	0	-400	0	4	0	2	36	1	0	10	0	0	0	0	0	0	13	0	0	0	0		\sound\物品\盾牌.wav	
盔甲01	盔甲02	布质盔甲		盔甲	\image\图标\盔甲.bmp	0,0	32,32	0,2	0	0	-400	0	4	1	1	0	1	0	10	0	0	0	0	1	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲02	盔甲03	皮质盔甲		盔甲	\image\图标\盔甲.bmp	32,0	32,32	0,2	0	0	-400	0	4	1	1	3	1	0	10	0	0	0	0	2	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲03	盔甲04	铁质盔甲		盔甲	\image\图标\盔甲.bmp	64,0	32,32	0,2	0	0	-400	0	4	1	1	6	1	0	10	0	0	0	0	3	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲04	盔甲05	钢质盔甲		盔甲	\image\图标\盔甲.bmp	96,0	32,32	0,2	0	0	-400	0	4	1	1	9	1	0	10	0	0	0	0	4	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲05	盔甲06	紫钢盔甲		盔甲	\image\图标\盔甲.bmp	128,0	32,32	0,2	0	0	-400	0	4	1	1	12	1	0	10	0	0	0	0	5	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲06	盔甲07	黄金盔甲		盔甲	\image\图标\盔甲.bmp	160,0	32,32	0,2	0	0	-400	0	4	1	1	15	1	0	10	0	0	0	0	6	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲07	盔甲08	白银铠甲		盔甲	\image\图标\盔甲.bmp	192,0	32,32	0,2	0	0	-400	0	4	1	1	18	1	0	10	0	0	0	0	7	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲08	盔甲09	乌金铠甲		盔甲	\image\图标\盔甲.bmp	224,0	32,32	0,2	0	0	-400	0	4	1	1	21	1	0	10	0	0	0	0	8	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲09	盔甲10	暗黑战甲		盔甲	\image\图标\盔甲.bmp	256,0	32,32	0,2	0	0	-400	0	4	1	1	24	1	0	10	0	0	0	0	9	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲10	盔甲11	暗金战甲		盔甲	\image\图标\盔甲.bmp	288,0	32,32	0,2	0	0	-400	0	4	1	1	27	1	0	10	0	0	0	0	10	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲11	盔甲12	白金盔甲		盔甲	\image\图标\盔甲.bmp	0,32	32,32	0,2	0	0	-400	0	4	1	1	30	1	0	10	0	0	0	0	11	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲12	盔甲13	黑金盔甲		盔甲	\image\图标\盔甲.bmp	32,32	32,32	0,2	0	0	-400	0	4	1	1	33	1	0	10	0	0	0	0	12	0	0	0	0	0	0		\sound\物品\盔甲.wav	
盔甲13		圣金盔甲		盔甲	\image\图标\盔甲.bmp	32,32	32,32	0,2	0	0	-400	0	4	1	1	36	1	0	10	0	0	0	0	13	0	0	0	0	0	0		\sound\物品\盔甲.wav	
护手01	护手02	普通护手		护手	\image\图标\防具.bmp	0,64	32,32	0,2	0	0	-400	0	4	1	4	1	1	0	10	0	0	0	0	0	1	0	0	0	0	0		\sound\物品\护手.wav	
护手02	护手03	帆布护手		护手	\image\图标\防具.bmp	32,64	32,32	0,2	0	0	-400	0	4	1	4	2	1	0	10	0	0	0	0	0	2	0	0	0	0	0		\sound\物品\护手.wav	
护手03	护手04	皮质护手		护手	\image\图标\防具.bmp	64,64	32,32	0,2	0	0	-400	0	4	1	4	3	1	0	10	0	0	0	0	0	3	0	0	0	0	0		\sound\物品\护手.wav	
护手04	护手05	兽皮护手		护手	\image\图标\防具.bmp	96,64	32,32	0,2	0	0	-400	0	4	1	4	4	1	0	10	0	0	0	0	0	4	0	0	0	0	0		\sound\物品\护手.wav	
护手05	护手06	钢质护手		护手	\image\图标\防具.bmp	128,64	32,32	0,2	0	0	-400	0	4	1	4	5	1	0	10	0	0	0	0	0	5	0	0	0	0	0		\sound\物品\护手.wav	
护手06	护手07	精铁护手		护手	\image\图标\防具.bmp	160,64	32,32	0,2	0	0	-400	0	4	1	4	6	1	0	10	0	0	0	0	0	6	0	0	0	0	0		\sound\物品\护手.wav	
护手07	护手08	铜质护手		护手	\image\图标\防具.bmp	192,64	32,32	0,2	0	0	-400	0	4	1	4	7	1	0	10	0	0	0	0	0	7	0	0	0	0	0		\sound\物品\护手.wav	
护手08	护手09	精钢护手		护手	\image\图标\防具.bmp	224,64	32,32	0,2	0	0	-400	0	4	1	4	8	1	0	10	0	0	0	0	0	8	0	0	0	0	0		\sound\物品\护手.wav	
